                   proname                   |  status   
 get_funds_with_aum                          | COMPLIANT
 get_investor_period_summary                 | COMPLIANT
 get_investor_portfolio_summary              | COMPLIANT
 get_investor_positions_by_class             | COMPLIANT
 get_monthly_platform_aum                    | COMPLIANT
 get_position_reconciliation                 | COMPLIANT
 get_profile_by_id                           | COMPLIANT
 get_report_statistics                       | COMPLIANT
 get_reporting_eligible_investors            | COMPLIANT
 get_statement_period_summary                | COMPLIANT
 get_statement_signed_url                    | COMPLIANT
 get_user_admin_status                       | COMPLIANT
 get_user_reports                            | COMPLIANT
 get_void_transaction_impact                 | COMPLIANT
 get_void_yield_impact                       | COMPLIANT
 get_yield_corrections                       | COMPLIANT
 handle_ledger_transaction                   | COMPLIANT
 has_role                                    | COMPLIANT
 has_super_admin_role                        | COMPLIANT
 internal_route_to_fees                      | COMPLIANT
 is_2fa_required                             | COMPLIANT
 is_admin_for_jwt                            | COMPLIANT
 is_admin_safe                               | COMPLIANT
 is_ib                                       | COMPLIANT
 is_import_enabled                           | COMPLIANT
 is_super_admin                              | COMPLIANT
 is_super_admin                              | COMPLIANT
 is_valid_share_token                        | COMPLIANT
 is_within_edit_window                       | COMPLIANT
 lock_fund_period_snapshot                   | COMPLIANT
 lock_imports                                | COMPLIANT
 log_access_event                            | COMPLIANT
 log_audit_event                             | COMPLIANT
 log_audit_event                             | COMPLIANT
 log_cancel_on_status_change                 | COMPLIANT
 log_data_edit                               | COMPLIANT
 log_delivery_status_change                  | COMPLIANT
 log_ledger_mismatches                       | COMPLIANT
 log_security_event                          | COMPLIANT
 log_withdrawal_action                       | COMPLIANT
 log_withdrawal_creation                     | COMPLIANT
 mark_delivery_result                        | COMPLIANT
 mark_mfa_reset_executed                     | COMPLIANT
 mark_sent_manually                          | COMPLIANT
 prevent_auto_aum_creation                   | COMPLIANT
 preview_daily_yield_to_fund_v3              | COMPLIANT
 preview_investor_balances                   | COMPLIANT
 preview_yield_correction_v2                 | COMPLIANT
 process_excel_import_with_classes           | COMPLIANT
 process_yield_distribution                  | COMPLIANT
 protect_allocation_immutable_fields         | COMPLIANT
 protect_audit_immutable_fields              | COMPLIANT
 protect_audit_log_immutable_fields          | COMPLIANT
 protect_transaction_immutable_fields        | COMPLIANT
 queue_statement_deliveries                  | COMPLIANT
 rebuild_investor_period_balances            | COMPLIANT
 recalculate_all_aum                         | COMPLIANT
 recalculate_fund_aum_for_date               | COMPLIANT
 recompute_investor_position                 | COMPLIANT
 recompute_investor_positions_for_investor   | COMPLIANT
 reconcile_all_positions                     | COMPLIANT
 reconcile_fund_period                       | COMPLIANT
 reconcile_investor_position                 | COMPLIANT
 regenerate_reports_for_correction           | COMPLIANT
 reject_mfa_reset                            | COMPLIANT
 reject_withdrawal                           | COMPLIANT
 repair_all_positions                        | COMPLIANT
 request_mfa_reset                           | COMPLIANT
 requeue_stale_sending                       | COMPLIANT
 require_super_admin                         | COMPLIANT
 reset_all_data_keep_profiles                | COMPLIANT
 reset_all_investor_positions                | COMPLIANT
 retry_delivery                              | COMPLIANT
 rollback_yield_correction                   | COMPLIANT
 route_withdrawal_to_fees                    | COMPLIANT
 run_data_integrity_check                    | COMPLIANT
 send_daily_rate_notifications               | COMPLIANT
 set_fund_daily_aum                          | COMPLIANT
 start_processing_withdrawal                 | COMPLIANT
 sync_ib_account_type                        | COMPLIANT
 sync_profile_is_admin                       | COMPLIANT
 sync_yield_to_investor_yield_events         | COMPLIANT
 system_health_check                         | COMPLIANT
 test_profiles_access                        | COMPLIANT
 trigger_recompute_position                  | COMPLIANT
 unlock_fund_period_snapshot                 | COMPLIANT
 unlock_imports                              | COMPLIANT
 update_admin_role                           | COMPLIANT
 update_fund_aum_baseline                    | COMPLIANT
 update_fund_daily_aum                       | COMPLIANT
 update_fund_daily_aum_with_recalc           | COMPLIANT
 update_investor_aum_percentages             | COMPLIANT
 update_investor_last_activity               | COMPLIANT
 update_investor_last_activity_withdrawal    | COMPLIANT
 update_last_activity_on_statement           | COMPLIANT
 update_transaction                          | COMPLIANT
 update_user_profile_secure                  | COMPLIANT
 update_withdrawal                           | COMPLIANT
 use_invite_code                             | COMPLIANT
 validate_ib_parent_has_role                 | COMPLIANT
 validate_invite_code                        | COMPLIANT
 validate_position_fund_status               | COMPLIANT
 validate_transaction_fund_status            | COMPLIANT
 validate_transaction_has_aum                | COMPLIANT
 validate_transaction_type                   | COMPLIANT
 validate_withdrawal_request                 | COMPLIANT
 validate_yield_temporal_lock                | COMPLIANT
 verify_yield_distribution_balance           | COMPLIANT
 void_fund_daily_aum                         | COMPLIANT
 void_investor_yield_events_for_distribution | COMPLIANT
 void_transaction                            | COMPLIANT
 void_yield_distribution                     | COMPLIANT
(189 rows)

